Search Parameters	Year	Mo	Dy	Hr	Mn	Sec	Tsu	Vol	Location Name	Latitude	Longitude	Focal Depth (km)	Mag	MMI Int	Deaths	Death Description	Missing	Missing Description	Injuries	Injuries Description	Damage ($Mil)	Damage Description	Houses Destroyed	Houses Destroyed Description	Houses Damaged	Houses Damaged Description	Total Deaths	Total Death Description	Total Missing	Total Missing Description	Total Injuries	Total Injuries Description	Total Damage ($Mil)	Total Damage Description	Total Houses Destroyed	Total Houses Destroyed Description	Total Houses Damaged	Total Houses Damaged Description
[]	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-2150	NA	NA	NA	NA	0	NA	NA	"JORDAN:  BAB-A-DARAA,AL-KARAK"	31.1	35.5	NA	7.3	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-2000	NA	NA	NA	NA	NA	1	NA	SYRIA:  UGARIT	35.683	35.8	NA	NA	10	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-2000	NA	NA	NA	NA	NA	NA	NA	TURKMENISTAN:  W	38	58.2	18	7.1	10	1	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA
	-1610	NA	NA	NA	NA	NA	3	1351	GREECE:  THERA ISLAND (SANTORINI)	36.4	25.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
	-1566	NA	NA	NA	NA	0	NA	NA	ISRAEL:  ARIHA (JERICHO)	31.5	35.3	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-1450	NA	NA	NA	NA	NA	NA	NA	ITALY:  LACUS CIMINI	35.5	25.5	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-1365	NA	NA	NA	NA	NA	4	NA	SYRIAN COASTS	35.683	35.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
	-1250	NA	NA	NA	NA	0	NA	NA	ISRAEL:  ARIHA (JERICHO)	32	35.5	NA	6.5	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-1050	NA	NA	NA	NA	0	NA	NA	JORDAN:  SW:  TIMNA COPPER MINES	29.6	35	NA	6.2	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-759	NA	NA	NA	NA	0	NA	NA	ISRAEL:  JERUSALEM	33	35.5	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-590	NA	NA	NA	NA	NA	7	NA	LEBANON:  SUR (TYRE)	33.27	35.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-550	NA	NA	NA	NA	NA	NA	NA	GREECE:  MOUNT TAYGETUS	37	22.5	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-525	NA	NA	NA	NA	NA	8	NA	"LEBANON:  SUR (TYRE), SAYDA (SAIDA)"	33.56	35.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-480	9	29	NA	NA	NA	3469	NA	GREECE:  SARONIC GULF	37.9	23.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-479	NA	NA	NA	NA	NA	9	NA	GREECE:  MACEDONIA	39.7	23.3	NA	7	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-432	NA	NA	NA	NA	NA	NA	NA	GREECE:  ROMAN TERRITORIES	37	22.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
	-426	6	NA	NA	NA	NA	10	NA	GREECE:  EUBOEA	38.9	22.7	NA	7.1	10	2500	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA	2500	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	-400	NA	NA	NA	NA	NA	NA	NA	"IRAN:  REY,EIVAN-E-KAY"	35.5	51.8	NA	7.6	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
	-373	NA	NA	NA	NA	NA	11	NA	GREECE	38.25	22.25	NA	7.3	11	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA
	-364	NA	NA	NA	NA	NA	NA	NA	ITALY:  ROME	35	25	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
	-330	NA	NA	NA	NA	NA	12	NA	GREECE:  AEGEAN SEA	40	25	NA	7	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-326	11	NA	NA	NA	NA	5282	NA	INDIA:  KUTCH	23	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
	-282	NA	NA	NA	NA	NA	NA	NA	TURKEY:  LYSIMACHIA	41	27	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-282	NA	NA	NA	NA	NA	NA	NA	GREECE:  DELPHI	38.5	22.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
	-250	NA	NA	NA	NA	NA	NA	NA	KYRGYZSTAN:  CHIGUCHIN	42.7	77.5	20	6.7	9	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
	-241	NA	NA	NA	NA	NA	NA	NA	SPAIN:  CADIZ	36	-8.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-227	NA	NA	NA	NA	NA	3092	NA	GREECE:  DODECANESE ISLANDS	36.3	28.3	100	7.2	10	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
	-223	10	NA	NA	NA	NA	3472	NA	GREECE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	-221	NA	NA	NA	NA	NA	NA	NA	EGYPT:  SIWA OASIS; LIBYA	29.2	25.5	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
